# Source: openpowerlifting.org rankings, filter "Raw+Wraps", all classes, all
# sexes, sorted by Dots, top ~120 all-time. Captured 2026-09-09. Units as the
# site displayed them: POUNDS.
#
# This is a hand-transcribed sample, not the full OpenPowerlifting dump. It is
# used for one purpose: to bound what a human being has ever lifted, so the
# validator's ceilings are grounded in evidence instead of guesswork. Every row
# is checked by tests/test_plausibility.py, which asserts squat+bench+deadlift
# equals the recorded total and so catches transcription slips.
rank,lifter,fed,date,sex,age,equip,bodyweight_lb,squat_lb,bench_lb,deadlift_lb,total_lb,dots
1,Kristy Hawkins,WRPF,2023-10-28,F,43,Wraps,163.1,683.4,336.2,578.7,1598.3,711.19
2,Marianna Gasparyan,WRPF,2019-04-27,F,30,Wraps,123.4,573.2,292.1,485.0,1350.3,709.96
3,Colton Engelbrecht,WRPF,2026-07-11,M,25,Raw,276.2,1003.1,611.7,1085.7,2700.5,693.75
4,Hunter Henderson,WRPF,2021-04-24,F,26,Wraps,163.8,650.3,325.1,573.2,1548.6,687.63
5,Chakera Ingram,USPA,2019-08-03,F,24,Wraps,177.2,639.3,374.8,595.2,1609.3,686.14
6,Stefanie Cohen,WRPF,2019-04-27,F,27,Wraps,119.9,507.0,242.5,529.1,1278.6,685.45
7,Denise Herber,WRPF,2024-04-06,F,33,Wraps,159.7,562.1,314.1,642.6,1518.8,683.64
8,Samantha Rice,WRPF,2023-10-28,F,33,Wraps,181.6,617.3,347.2,641.5,1606.0,676.54
9,Stacy Burr,XPC,2019-03-02,F,27,Wraps,147.6,565.0,320.0,550.0,1435.0,675.19
10,Chleo Van Wyk,USPA,2019-08-03,F,28,Wraps,173.2,617.3,352.7,584.2,1554.2,670.20
11,John Haack,PLU,2024-09-28,M,31,Raw,192.2,805.8,578.7,848.7,2233.2,665.75
12,Sarah Rainbow,WRPF-AUS,2024-03-23,F,28,Wraps,222.0,694.4,391.3,622.8,1708.5,659.56
13,Ashley Garcia,WRPF,2021-04-24,F,39,Wraps,162.4,595.2,314.1,567.7,1477.0,658.67
14,Brittany Bowles,RPS,2025-06-28,F,36,Wraps,132.0,523.6,297.6,482.8,1304.0,656.40
15,Yury Belkin,USA-UA,2019-08-30,M,28,Wraps,220.4,917.1,518.1,914.9,2350.1,656.14
16,Agata Sitko,IPF,2025-06-08,F,22,Raw,139.9,457.4,330.7,562.1,1350.2,655.79
17,Brianny Terry,WRPF,2023-10-28,F,27,Wraps,165.3,529.1,308.6,641.5,1479.2,653.54
18,Chad Penson,WRPF,2021-04-24,M,28,Wraps,195.1,881.8,512.5,804.7,2199.0,650.53
19,Austin Perkins,IPF,2026-06-13,M,26,Raw,161.6,749.5,457.4,758.4,1965.3,649.15
20,Jaymi Morris,ProRaw,2024-03-16,F,30,Wraps,188.9,606.2,347.2,606.2,1559.6,644.91
21,Eva Dunbar,RPS,2018-03-10,F,36,Wraps,147.6,536.8,315.2,518.1,1370.1,644.68
22,Jennessa Labbate,WRPF,2021-04-24,F,26,Wraps,146.1,501.5,292.1,563.2,1356.8,642.10
23,Keeta Crisp,WRPF-AUS,2022-09-11,F,28,Wraps,165.1,578.7,308.6,562.1,1449.4,640.84
24,Jeanine Whittaker,SPF,2017-04-22,F,44,Wraps,180.4,610.0,310.0,580.0,1500.0,633.99
25,Amanda Smith,USPC,2024-11-23,F,24,Raw,161.8,535.7,315.2,562.1,1413.0,631.54
26,Andrew Hause,USPC,2025-11-22,M,28,Raw,292.7,1031.7,566.6,903.9,2502.2,631.51
27,Zahir Khudayarov,FPO,2015-09-26,M,32,Wraps,275.5,1041.6,573.2,837.7,2452.5,630.52
28,Blake Lehew,WRPF,2022-07-29,M,27,Wraps,181.6,727.5,474.0,848.7,2050.2,630.41
29,Marina Castillo Pardo,PLU,2025-04-13,F,30,Wraps,139.7,579.8,220.4,496.0,1296.2,629.98
30,Alba Bostrom,IPF,2026-01-31,F,24,Raw,138.6,451.9,308.6,523.6,1284.1,627.09
31,Sharon Eggleton,IrishPO,2025-05-10,F,45,Wraps,147.2,507.0,303.1,518.1,1328.2,625.79
32,Crystal Tate,XPC,2017-03-03,F,29,Wraps,196.4,640.0,300.0,600.0,1540.0,625.57
33,Derek Thistlethwaite,WRPF,2024-06-08,M,24,Raw,245.6,881.8,540.1,914.9,2336.8,624.85
34,Jamal Browner,USPA,2022-09-24,M,27,Raw,241.2,815.7,501.5,1003.1,2320.3,624.65
35,Jen Hazzard,IPA,2023-04-22,F,37,Wraps,126.0,432.0,240.0,530.0,1202.0,623.58
36,Naomi Sheppard,WRPF,2022-02-12,F,30,Wraps,147.5,578.7,270.0,474.0,1322.7,622.65
37,Lily Riley,WRPF,2025-12-06,F,30,Wraps,174.8,617.3,270.0,562.1,1449.4,622.26
38,Kyle Kirvay,ABS,2025-10-12,M,29,Raw,301.1,936.9,639.3,903.9,2480.1,620.84
39,Raymond Phillips,RPS,2024-01-27,M,38,Wraps,140.4,610.0,360.0,730.0,1700.0,620.75
40,Silvina Ruiz,GPC,2025-10-22,F,25,Wraps,141.1,529.1,303.1,451.9,1284.1,620.54
41,Kody Blazek,USPA,2019-08-03,M,33,Wraps,179.0,744.0,485.0,771.6,2000.6,620.35
42,Jawon Garrison,WRPF,2023-10-28,M,35,Raw,181.8,778.2,507.0,733.0,2018.2,620.15
43,Dave Richardson,ABS,2024-08-17,M,32,Wraps,268.7,892.8,540.1,959.0,2391.9,619.91
44,Elliott Sykes,AMP,2026-03-05,M,19,Raw,162.0,711.0,435.4,733.0,1879.4,619.76
45,Angelina Bennett,WRPF,2023-10-28,F,30,Wraps,122.5,446.4,270.0,451.9,1168.3,617.26
46,Alisha Luna,WRPF,2024-04-06,F,29,Wraps,113.5,418.8,225.9,464.0,1108.7,617.25
47,Courtney Yopp,USPC,2025-11-22,F,36,Wraps,130.9,458.5,260.1,500.4,1219.0,616.94
48,Chantal Marais,WRPF-AUS,2020-12-05,F,32,Wraps,163.8,617.3,264.5,507.0,1388.8,616.67
49,Alana Hynes DAquino,ProRaw,2024-03-16,F,23,Wraps,163.8,529.1,303.1,556.6,1388.8,616.67
50,Maliek Derstine,WRPF,2021-04-24,M,32,Wraps,179.0,793.6,485.0,705.4,1984.0,615.22
51,Kjell Egil Bakkelund,IPF,2026-01-31,M,0,Raw,144.7,573.2,435.4,715.4,1724.0,615.21
52,Blake Tobin,IPA,2024-11-02,F,32,Raw,130.0,460.0,275.0,475.0,1210.0,615.15
53,Jessica Hause,USPC,2024-11-23,F,36,Wraps,159.4,579.8,284.4,500.4,1364.6,614.88
54,April Mathis,APF,2017-04-01,F,29,Wraps,275.5,705.4,440.9,556.6,1702.9,613.11
55,Chloe Lansing,WRPF,2021-04-24,F,29,Wraps,147.2,512.5,242.5,545.6,1300.6,612.80
56,Carola Garra,IPF,2025-06-08,F,30,Raw,146.7,498.2,330.7,468.4,1297.3,612.53
57,Eric Lilliebridge,UPA,2016-07-16,M,26,Wraps,306.4,1052.7,551.1,854.3,2458.1,612.28
58,Boris Tsvetkov,ABS,2023-08-19,M,25,Wraps,230.2,881.8,512.5,837.7,2232.0,611.93
59,Rostislav Petkov,WRPF,2021-04-24,M,32,Wraps,178.1,771.6,446.4,749.5,1967.5,611.84
60,Susan Salazar,USPA,2017-04-15,F,41,Wraps,128.9,462.9,259.0,474.0,1195.9,611.16
61,Meghan Scanlon,AMP,2025-04-03,F,37,Raw,138.1,447.5,315.2,485.0,1247.7,610.81
62,Sarah Lewis,USPA,2019-08-31,F,33,Raw,151.4,485.0,303.1,529.1,1317.2,610.66
63,Joseph Borenstein,AMP,2025-10-11,M,22,Raw,182.8,677.9,482.8,832.2,1992.9,610.49
64,Patrick Morrison,WRPF-AUS,2023-10-28,M,33,Wraps,197.1,882.9,391.3,799.1,2073.3,610.19
65,Danny Grigsby,PLU,2025-12-13,M,31,Raw,263.2,854.3,474.0,1009.7,2338.0,610.07
66,Prescillia Bavoil,IPF,2024-02-10,F,30,Raw,146.5,496.0,270.0,523.6,1289.6,609.42
67,Sara Naldi,IPF,2026-01-31,F,27,Raw,125.1,436.5,231.5,501.5,1169.5,609.33
68,Karlina Tongotea,IPF,2026-01-31,F,0,Raw,166.8,510.3,297.6,577.6,1385.5,609.24
69,Carina Chavez,GPC,2025-10-22,F,33,Wraps,128.7,507.0,198.4,485.0,1190.4,609.01
70,Andrea Armstrong,USPC,2024-11-23,F,22,Raw,136.0,485.0,293.2,454.1,1232.3,608.95
71,Barbara Lee,WRPF,2022-07-29,F,40,Wraps,164.0,529.1,281.1,562.1,1372.3,608.89
72,Taylor Atwood,USAPL,2021-06-14,M,32,Raw,162.3,668.0,429.9,750.6,1848.5,608.77
73,Tom Martin,WRPF,2018-08-24,M,30,Wraps,218.9,843.2,440.9,887.3,2171.4,608.14
74,Laura Tedeschi,WRPF-AUS,2022-09-11,F,31,Wraps,130.9,518.1,242.5,440.9,1201.5,608.02
75,Andrey Malanichev,RUPC,2014-02-07,M,37,Wraps,320.5,1014.1,573.2,881.8,2469.1,607.39
76,Dmitry Nasonov,WRPF,2020-12-17,M,28,Wraps,181.4,716.5,396.8,892.8,2006.1,607.10
77,Jessica Springer,APF,2021-04-10,F,0,Wraps,260.6,615.0,415.0,630.0,1660.0,606.76
78,Jenn Rotsinger,USPA,2019-02-08,F,40,Wraps,113.1,418.8,221.5,446.4,1086.7,606.63
79,Daniel Bell,WRPF,2021-02-20,M,34,Wraps,396.8,1102.3,600.7,903.9,2606.9,606.47
80,Luke Tolman,BPU,2024-04-27,M,25,Wraps,237.0,832.2,589.7,815.7,2237.6,606.46
81,Dione Cesar Teodoro,GPC-Brazil,2025-04-04,M,33,Wraps,240.0,925.9,485.0,881.8,2292.7,606.42
82,Haley Hill,USPA,2021-10-23,F,24,Wraps,131.8,457.4,275.5,468.4,1201.3,605.43
83,Shane Haller,WRPF,2024-04-06,M,31,Wraps,306.4,948.0,562.1,920.4,2430.5,605.41
84,Jen Smith,AusPL,2020-03-23,F,26,Wraps,132.0,457.4,281.1,462.9,1201.4,604.79
85,Chiara Bernardi,IPF,2025-06-08,F,26,Raw,138.0,440.9,281.1,512.5,1234.5,604.69
86,Zac Meyers,WRPF,2023-06-17,M,29,Raw,284.6,892.8,628.3,854.3,2375.4,604.61
87,Jaclyn Cornwell,APF,2021-04-10,F,33,Wraps,148.6,570.0,250.0,470.0,1290.0,604.60
88,Larry Williams,XPC,2020-03-07,M,25,Raw,283.6,870.0,645.0,855.0,2370.0,603.87
89,Petr Petras,GPC-GUPU,2020-12-05,M,36,Wraps,374.8,1036.1,639.3,881.8,2557.2,603.66
90,Fernando Arias,SPF,2025-09-20,M,29,Raw,291.2,848.7,556.6,981.0,2386.3,603.24
91,Karl Wedel,ABS,2026-02-14,M,26,Raw,266.3,881.8,523.6,914.9,2320.3,603.13
92,Hanna Luukkonen,FPO,2023-05-13,F,22,Wraps,160.0,523.6,287.7,529.1,1340.4,602.59
93,Jason Legrand,365Strong,2018-04-20,M,24,Wraps,238.0,909.4,485.0,832.2,2226.6,602.50
94,Ceejay Byam,PLU,2025-04-13,F,40,Raw,163.5,490.5,341.7,523.6,1355.8,602.42
95,Nicolaas du Preez,ABS,2025-08-02,M,31,Wraps,277.5,925.9,551.1,870.8,2347.8,602.24
96,Rondel Hunte,USAPL,2023-09-14,M,27,Raw,263.5,848.7,578.7,876.3,2303.7,600.92
97,Chris Kennedy,AusPL,2025-08-22,M,32,Wraps,180.4,750.6,462.9,733.0,1946.5,600.84
98,Kevin Oak,WRPF,2016-08-19,M,30,Wraps,220.2,859.8,501.5,789.2,2150.5,600.75
99,Christian Kearney,RawIronPL,2026-08-01,M,37,Wraps,140.2,593.0,330.7,718.7,1642.4,600.31
100,Phillip Herndon,IPA,2023-06-25,M,28,Wraps,263.3,1000.0,500.0,800.0,2300.0,600.10
101,Andrea Gregorova,GPU,2026-04-10,F,26,Wraps,148.3,507.0,264.5,507.0,1278.5,599.82
